datetime,water level
01/11/2020 00:00:00,228
01/11/2020 01:00:00,177
01/11/2020 02:00:00,115
01/11/2020 03:00:00,70
01/11/2020 04:00:00,60
01/11/2020 05:00:00,84
01/11/2020 06:00:00,127
01/11/2020 07:00:00,180
01/11/2020 08:00:00,236
01/11/2020 09:00:00,282
01/11/2020 10:00:00,312
01/11/2020 11:00:00,312
01/11/2020 12:00:00,283
01/11/2020 13:00:00,230
01/11/2020 14:00:00,164
01/11/2020 15:00:00,108
01/11/2020 16:00:00,75
01/11/2020 17:00:00,69
01/11/2020 18:00:00,104
01/11/2020 19:00:00,147
01/11/2020 20:00:00,185
01/11/2020 21:00:00,219
01/11/2020 22:00:00,252
01/11/2020 23:00:00,257
02/11/2020 00:00:00,239
02/11/2020 01:00:00,193
02/11/2020 02:00:00,131
02/11/2020 03:00:00,79
02/11/2020 04:00:00,58
02/11/2020 05:00:00,74
02/11/2020 06:00:00,115
02/11/2020 07:00:00,163
02/11/2020 08:00:00,219
02/11/2020 09:00:00,269
02/11/2020 10:00:00,310
02/11/2020 11:00:00,318
02/11/2020 12:00:00,300
02/11/2020 13:00:00,254
02/11/2020 14:00:00,188
02/11/2020 15:00:00,130
02/11/2020 16:00:00,88
02/11/2020 17:00:00,71
02/11/2020 18:00:00,90
02/11/2020 19:00:00,125
02/11/2020 20:00:00,164
02/11/2020 21:00:00,203
02/11/2020 22:00:00,237
02/11/2020 23:00:00,249
03/11/2020 00:00:00,238
03/11/2020 01:00:00,205
03/11/2020 02:00:00,153
03/11/2020 03:00:00,101
03/11/2020 04:00:00,67
03/11/2020 05:00:00,66
03/11/2020 06:00:00,101
03/11/2020 07:00:00,149
03/11/2020 08:00:00,208
03/11/2020 09:00:00,263
03/11/2020 10:00:00,302
03/11/2020 11:00:00,318
03/11/2020 12:00:00,310
03/11/2020 13:00:00,277
03/11/2020 14:00:00,221
03/11/2020 15:00:00,158
03/11/2020 16:00:00,107
03/11/2020 17:00:00,82
03/11/2020 18:00:00,88
03/11/2020 19:00:00,121
03/11/2020 20:00:00,155
03/11/2020 21:00:00,188
03/11/2020 22:00:00,220
03/11/2020 23:00:00,237
04/11/2020 00:00:00,234
04/11/2020 01:00:00,208
04/11/2020 02:00:00,167
04/11/2020 03:00:00,113
04/11/2020 04:00:00,79
04/11/2020 05:00:00,71
04/11/2020 06:00:00,94
04/11/2020 07:00:00,134
04/11/2020 08:00:00,186
04/11/2020 09:00:00,239
04/11/2020 10:00:00,284
04/11/2020 11:00:00,311
04/11/2020 12:00:00,312
04/11/2020 13:00:00,291
04/11/2020 14:00:00,243
04/11/2020 15:00:00,186
04/11/2020 16:00:00,136
04/11/2020 17:00:00,101
04/11/2020 18:00:00,94
04/11/2020 19:00:00,116
04/11/2020 20:00:00,147
04/11/2020 21:00:00,176
04/11/2020 22:00:00,204
04/11/2020 23:00:00,225
05/11/2020 00:00:00,230
05/11/2020 01:00:00,214
05/11/2020 02:00:00,183
05/11/2020 03:00:00,125
05/11/2020 04:00:00,96
05/11/2020 05:00:00,81
05/11/2020 06:00:00,94
05/11/2020 07:00:00,128
05/11/2020 08:00:00,170
05/11/2020 09:00:00,216
05/11/2020 10:00:00,262
05/11/2020 11:00:00,293
05/11/2020 12:00:00,305
05/11/2020 13:00:00,293
05/11/2020 14:00:00,261
05/11/2020 15:00:00,212
05/11/2020 16:00:00,160
05/11/2020 17:00:00,120
05/11/2020 18:00:00,102
05/11/2020 19:00:00,117
05/11/2020 20:00:00,143
05/11/2020 21:00:00,166
05/11/2020 22:00:00,189
05/11/2020 23:00:00,211
06/11/2020 00:00:00,216
06/11/2020 01:00:00,205
06/11/2020 02:00:00,185
06/11/2020 03:00:00,146
06/11/2020 04:00:00,112
06/11/2020 05:00:00,97
06/11/2020 06:00:00,97
06/11/2020 07:00:00,115
06/11/2020 08:00:00,148
06/11/2020 09:00:00,190
06/11/2020 10:00:00,236
06/11/2020 11:00:00,268
06/11/2020 12:00:00,289
06/11/2020 13:00:00,290
06/11/2020 14:00:00,269
06/11/2020 15:00:00,231
06/11/2020 16:00:00,185
06/11/2020 17:00:00,148
06/11/2020 18:00:00,128
06/11/2020 19:00:00,122
06/11/2020 20:00:00,137
06/11/2020 21:00:00,157
06/11/2020 22:00:00,176
06/11/2020 23:00:00,191
07/11/2020 00:00:00,198
07/11/2020 01:00:00,196
07/11/2020 02:00:00,181
07/11/2020 03:00:00,156
07/11/2020 04:00:00,127
07/11/2020 05:00:00,106
07/11/2020 06:00:00,102
07/11/2020 07:00:00,118
07/11/2020 08:00:00,144
07/11/2020 09:00:00,176
07/11/2020 10:00:00,210
07/11/2020 11:00:00,241
07/11/2020 12:00:00,260
07/11/2020 13:00:00,270
07/11/2020 14:00:00,262
07/11/2020 15:00:00,238
07/11/2020 16:00:00,206
07/11/2020 17:00:00,175
07/11/2020 18:00:00,153
07/11/2020 19:00:00,144
07/11/2020 20:00:00,148
07/11/2020 21:00:00,158
07/11/2020 22:00:00,169
07/11/2020 23:00:00,177
08/11/2020 00:00:00,179
08/11/2020 01:00:00,178
08/11/2020 02:00:00,172
08/11/2020 03:00:00,156
08/11/2020 04:00:00,143
08/11/2020 05:00:00,126
08/11/2020 06:00:00,120
08/11/2020 07:00:00,129
08/11/2020 08:00:00,145
08/11/2020 09:00:00,166
08/11/2020 10:00:00,190
08/11/2020 11:00:00,211
08/11/2020 12:00:00,229
08/11/2020 13:00:00,242
08/11/2020 14:00:00,244
08/11/2020 15:00:00,240
08/11/2020 16:00:00,225
08/11/2020 17:00:00,203
08/11/2020 18:00:00,182
08/11/2020 19:00:00,170
08/11/2020 20:00:00,166
08/11/2020 21:00:00,166
08/11/2020 22:00:00,172
08/11/2020 23:00:00,174
09/11/2020 00:00:00,170
09/11/2020 01:00:00,166
09/11/2020 02:00:00,163
09/11/2020 03:00:00,159
09/11/2020 04:00:00,156
09/11/2020 05:00:00,153
09/11/2020 06:00:00,153
09/11/2020 07:00:00,156
09/11/2020 08:00:00,164
09/11/2020 09:00:00,174
09/11/2020 10:00:00,188
09/11/2020 11:00:00,197
09/11/2020 12:00:00,205
09/11/2020 13:00:00,213
09/11/2020 14:00:00,219
09/11/2020 15:00:00,225
09/11/2020 16:00:00,230
09/11/2020 17:00:00,224
09/11/2020 18:00:00,214
09/11/2020 19:00:00,203
09/11/2020 20:00:00,193
09/11/2020 21:00:00,183
09/11/2020 22:00:00,176
09/11/2020 23:00:00,169
10/11/2020 00:00:00,163
10/11/2020 01:00:00,155
10/11/2020 02:00:00,152
10/11/2020 03:00:00,155
10/11/2020 04:00:00,160
10/11/2020 05:00:00,168
10/11/2020 06:00:00,176
10/11/2020 07:00:00,186
10/11/2020 08:00:00,189
10/11/2020 09:00:00,188
